,TICKER,COMPANY NAME,INSIDER,POSITION,DATE,SHARES,TRANS. PRICE,MKT VALUE,RANK,next_day_high_price,next_2day_high_price,next_3day_high_price,high_avg,high_diff,next_day_low_price,next_2day_low_price,next_3day_low_price,low_avg,low_diff
17,VYGR,"Voyager Therapeutics, Inc.","Ecor1 Capital, Llc",10% Owner,2022-06-23,376000,5.66,2126543,1.5,6.139999866485596,6.230000019073486,6.010000228881836,6.12666670481364,0.07616975548008605,5.659999847412109,5.590000152587891,5.699999809265137,5.649999936421712,-0.0017699227771357272
18,TCDA,"Tricida, Inc.",Shah Nimish P,10% Owner,2022-06-23,200000,10.5,2100000,1.5,10.329999923706055,10.960000038146973,10.819999694824219,10.703333218892416,0.01899718664588646,9.550000190734863,9.75,9.470000267028809,9.59000015258789,-0.09489049352794256
19,PAA,Plains All American Pipeline LP,Mccarthy Kevin S,Director,2022-06-23,200000,9.81,1961220,2.39,10.010000228881836,10.229999542236328,10.489999771118164,10.243333180745443,0.04230392325419875,9.699999809265137,9.989999771118164,9.979999542236328,9.889999707539877,0.008088949434334837
20,HRT,Hireright Holdings Corp,Carey James D,Director,2022-06-10,129247,14.87,1921321,2.1,14.970000267028807,15.229999542236328,15.859999656677244,15.353333155314125,0.031480666147522214,14.010000228881836,13.65999984741211,15.06999969482422,14.246666590372719,-0.04375293025025938
21,JELD,"Jeld-Wen Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,2022-06-23,121815,13.82,1683934,1.5,15.4350004196167,15.430000305175781,15.25,15.37166690826416,0.10094330806959838,14.661999702453613,15.020000457763672,14.319999694824219,14.667333285013834,0.05777009825498314
22,DFBHU,DFB Healthcare Acquisitions Corp,Ebbel Matthew,Director,2022-06-16,100000,16.78,1678270,2.39,,,,,,,,,,
23,TCDA,"Tricida, Inc.",Shah Nimish P,10% Owner,2022-06-22,142900,10.9,1557610,1.5,11.1899995803833,10.329999923706055,10.960000038146973,10.826666514078775,-0.006773413203950038,10.130000114440918,9.550000190734863,9.75,9.81000010172526,-0.11111109958939196
24,TCDA,"Tricida, Inc.",Shah Nimish P,10% Owner,2022-06-24,149120,9.68,1443482,1.5,10.960000038146973,10.819999694824219,9.979999542236328,10.586666425069174,0.08564229651386696,9.75,9.470000267028809,9.675000190734863,9.631666819254557,-0.005018153311617954
25,HRT,Hireright Holdings Corp,Carey James D,Director,2022-05-26,84127,14.27,1200871,2.1,14.90999984741211,,14.9399995803833,14.924999713897705,0.04388607882436271,14.350000381469727,,14.420000076293945,14.385000228881836,0.007994454435318106
26,TCON,"Tracon Pharmaceuticals, Inc.",Opaleye Management Inc.,10% Owner,2022-06-21,841989,1.31,1105279,1.5,1.4249999523162842,1.4099999666213991,1.7899999618530271,1.5416666269302368,0.1502702483685016,1.3300000429153442,1.3300000429153442,1.5099999904632568,1.3900000254313152,0.05755397407744019
27,BXMT,Blackstone Mortgage Trust Inc,Nash Michael B.,Director,2022-06-16,40000,26.14,1045752,2.39,27.38999938964844,,28.10000038146973,27.74499988555908,0.057848257061787325,26.239999771118164,,27.54999923706055,26.894999504089355,0.02807211444545883
28,FRT,Federal Realty Investment Trust,Faeder David,Director,2022-06-21,10565,94.82,1012587,2.39,96.13999938964844,97.45999908447266,99.91999816894531,97.83999888102215,0.03086671009363565,92.0199966430664,94.63999938964844,97.76000213623048,94.80666605631512,-0.00014064352475978768
29,NXRT,Nexpoint Residential Trust Inc,Dondero James D,President,2022-06-16,17050,59.01,1006121,2.64,59.97999954223633,,60.56000137329102,60.27000045776367,0.02090593078137877,57.4900016784668,,58.0,57.7450008392334,-0.02190664373334163
30,EVA,Enviva Inc,Keppler John K.,Chairman and CEO,2022-06-23,16422,60.3,994650,2.81,63.43000030517578,63.82500076293945,63.645999908447266,63.6336669921875,0.052388415594480625,60.040000915527344,60.63999938964844,60.119998931884766,60.266666412353516,-0.0005531015672645333
31,SFE,Safeguard Scientifics Inc,Satterfield Thomas A Jr,10% Owner,2022-06-22,47165,4.13,940191,1.5,4.090000152587891,4.019999980926514,3.990000009536743,4.033333381017049,-0.023966930043004653,3.7899999618530273,3.8399999141693115,3.7799999713897705,3.803333282470703,-0.08588958507393522
32,AFCG,"Afc Gamma, Inc.",Kalikow Jonathan Gilbert,Managing Director,2022-06-16,57600,15.62,899712,2.66,16.09000015258789,,17.079999923706055,16.585000038146973,0.05818510919067759,15.529999732971193,,16.219999313354492,15.874999523162842,0.016062962571480946
33,RMAX,RE/MAX Holdings Inc,"Magnolia Group, Llc",10% Owner,2022-06-16,40239,21.94,882844,2.45,22.770000457763672,,23.0,22.88500022888184,0.04129343322833812,22.1299991607666,,22.38999938964844,22.25999927520752,0.014375529453135397
34,HRT,Hireright Holdings Corp,Carey James D,Director,2022-05-31,52471,14.67,769592,2.1,14.899999618530273,15.378999710083008,15.270000457763672,15.18299992879232,0.03378778444301312,14.095000267028807,14.470000267028807,14.710000038146973,14.425000190734865,-0.016984388632625413
35,SCWX,Secureworks Corp,Gagnon Neil,10% Owner,2022-06-17,72124,10.09,727984,1.5,,10.9350004196167,11.390000343322756,11.162500381469727,0.09608065799040218,,10.31999969482422,10.609999656677246,10.464999675750732,0.0358337016120195
36,HRT,Hireright Holdings Corp,Carey James D,Director,2022-06-01,46953,14.4,675992,2.1,15.378999710083008,15.270000457763672,15.630000114440918,15.4263334274292,0.06653126177114127,14.470000267028807,14.710000038146973,15.09000015258789,14.756666819254555,0.0241698768172482
37,JELD,"Jeld-Wen Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,2022-06-21,50000,13.15,657585,1.5,13.5,14.289999961853027,15.4350004196167,14.408333460489906,0.08733372696713823,12.119999885559082,13.239999771118164,14.661999702453613,13.340666453043617,0.014292123539309316
38,OPK,Opko Health Inc,Nabel Gary J.,Chief Innovation Officer,2022-06-22,240000,2.47,597393,2.66,2.640000104904175,2.700000047683716,2.7699999809265137,2.7033333778381348,0.0863132086301291,2.4800000190734863,2.559999942779541,2.5899999141693115,2.5433332920074463,0.028833535989128786
39,NN,Nextnav Inc.,Presutti Timothy M.,10% Owner,2022-06-17,196071,2.79,546117,2.45,,3.0,2.369999885559082,2.684999942779541,-0.03910616739595228,,2.259999990463257,2.151000022888184,2.20550000667572,-0.26501926617777616
40,VYGR,"Voyager Therapeutics, Inc.","Ecor1 Capital, Llc",10% Owner,2022-06-21,101400,5.28,535504,1.5,5.389999866485597,5.8400001525878915,6.139999866485597,5.789999961853027,0.08808289554630792,4.940000057220459,4.9099998474121085,5.6599998474121085,5.1699999173482265,-0.021276612071629473
41,ADI,Analog Devices Inc,Evans Bruce R,Director,2022-06-17,3650,144.16,526184,2.1,,150.2899932861328,148.97999572753906,149.63499450683594,0.03658899794717352,,147.2899932861328,145.86000061035156,146.5749969482422,0.016476186242698417
42,REKR,Rekor Systems Ord Shs,Arctis Global Llc,,2022-06-16,243902,2.15,523804,0.01,2.25,,2.390000104904175,2.3200000524520874,0.07327588302095453,2.0799999237060547,,2.0899999141693115,2.084999918937683,-0.03117510004289815
43,HOMB,Home Bancshares Inc,Engelkes Jack,Director,2022-06-23,25000,20.58,514500,2.39,21.3799991607666,21.709999084472656,21.75,21.613332748413086,0.04780996806191114,20.649999618530273,21.149999618530273,21.040000915527344,20.946666717529297,0.01750477641497261
44,EVA,Enviva Inc,Meth Thomas,President,2022-06-23,8600,58.78,505508,2.74,63.43000030517578,63.82500076293945,63.645999908447266,63.6336669921875,0.076275142100225,60.040000915527344,60.63999938964844,60.119998931884766,60.266666412353516,0.02466813747721703
45,BDC,Belden Inc,Chand Ashish,"EVP, Industrial Automation",2022-06-17,9949,50.36,501031,2.74,,51.61999893188477,51.02000045776367,51.31999969482422,0.018706151608201164,,49.68000030517578,49.58000183105469,49.63000106811523,-0.014708823618256026
46,OKE,ONEOK Inc,Norton Pierce,President & CEO,2022-06-17,8975,55.54,498462,2.81,,56.08000183105469,54.790000915527344,55.43500137329102,-0.0018940853992577445,,54.36999893188477,52.72000122070313,53.54500007629394,-0.037258379323250816
47,OPK,Opko Health Inc,Frost Gamma Investment Trust,CEO & Chairman,2022-06-21,200000,2.39,478857,1.5,2.5299999713897705,2.640000104904175,2.700000047683716,2.62333337465922,0.08894537648671164,2.3299999237060547,2.4800000190734863,2.559999942779541,2.456666628519694,0.02713702695585719
48,MCHP,Microchip Technology Inc,Moorthy Ganesh,President & CEO,2022-06-17,8000,56.6,458301,2.66,,59.88000106811523,59.61000061035156,59.7450008392334,0.052640401624501024,,58.72999954223633,57.88999938964844,58.30999946594238,0.029326007230392026
49,EPD,Enterprise Products Partners LP,Barth Carin Marcy,Director,2022-06-24,19050,23.64,450304,2.1,24.530000686645508,24.93000030517578,25.270000457763672,24.910000483194988,0.050983559155358786,24.09000015258789,24.489999771118164,24.660200119018555,24.413400014241535,0.03167932421499556
50,HRT,Hireright Holdings Corp,Carey James D,Director,2022-06-03,29991,14.94,448039,2.1,15.630000114440918,15.720000267028807,15.68000030517578,15.6766668955485,0.04699129607440241,15.09000015258789,14.899999618530273,14.994999885559082,14.994999885559082,0.0036678816924867134
51,AMWD,American Woodmark Corp,Tang Vance W,Director,2022-06-23,10000,41.95,419500,2.39,47.189998626708984,47.40999984741211,47.63999938964844,47.41333262125651,0.11522777073905084,44.20000076293945,45.5,45.11000061035156,44.936667124430336,0.06646392168249161
52,TBRGU,Thunder Bridge Acquisition Ltd,Kight Peter J,Director,2022-06-16,37262,10.79,402057,2.39,,,,,,,,,,
53,VST,Vistra Energy Corp,Burke James A,President and CFO,2022-06-17,18000,22.01,396198,1.99,,23.01000022888184,22.881999969482425,22.94600009918213,0.04079142748785613,,22.5,22.309999465942386,22.40499973297119,0.017629981596915992
54,APG,Api Group Corp,Malkin Anthony E,Director,2022-06-17,25200,14.47,364644,2.1,,14.859999656677244,14.470000267028807,14.664999961853027,0.013296962997631476,,14.350000381469727,14.130000114440918,14.240000247955322,-0.0161516676994232
55,BXMT,Blackstone Mortgage Trust Inc,Pollack Jonathan Lee,Director,2022-06-16,13500,26.16,353140,2.39,27.38999938964844,,28.10000038146973,27.74499988555908,0.05712740645510162,26.239999771118164,,27.54999923706055,26.894999504089355,0.02732848178627404
56,GIM,Templeton Global Income Fund,Weinstein Boaz,10% Owner,2022-06-22,81901,4.3,352174,1.5,4.340000152587891,4.349999904632568,4.380000114440918,4.356666723887126,0.013006898961637045,4.25,4.28000020980835,4.309999942779541,4.28000005086263,-0.004672885256938009
57,HRT,Hireright Holdings Corp,Carey James D,Director,2022-05-27,22435,14.49,325067,2.1,,14.9399995803833,14.899999618530273,14.919999599456787,0.028820349262773607,,14.420000076293945,14.095000267028807,14.257500171661375,-0.01630719449688289
58,TELA,"Tela Bio, Inc.",Opaleye Management Inc.,10% Owner,2022-06-22,50000,6.5,324975,1.5,7.400000095367432,7.409999847412109,7.639999866485596,7.483333269755046,0.13140311066050298,6.510000228881836,6.829999923706055,7.0,6.78000005086263,0.04129794229529616
59,NHF,NexPoint Credit Strategies Fund,Dondero James D,See Remarks,2022-06-16,21090,14.93,314874,3.36,,,,,,,,,,
60,SCWX,Secureworks Corp,Gagnon Neil,10% Owner,2022-06-16,33080,9.43,312097,1.5,10.470000267028807,,10.9350004196167,10.702500343322754,0.11889748213058099,9.550000190734863,,10.31999969482422,9.93499994277954,0.05083039211757218
61,CPSS,Consumer Portfolio Services Inc,Deckoff Stephen H,10% Owner,2022-06-16,26455,10.47,277063,1.5,11.220000267028807,,11.640000343322756,11.43000030517578,0.08398952576939732,10.5,,11.020000457763672,10.760000228881836,0.026951693560695367
62,LAZY,Lazydays Holdings Inc,Riley Bryant R,10% Owner,2022-06-21,20000,12.66,253110,1.5,12.65999984741211,12.979999542236328,13.350000381469727,12.996666590372719,0.025904072250503552,12.1899995803833,12.609999656677244,12.529999732971193,12.443332990010582,-0.017412297023905
63,EVA,Enviva Inc,Even Shai,Exec VP & CFO,2022-06-23,4300,58.85,253055,2.74,63.43000030517578,63.82500076293945,63.645999908447266,63.6336669921875,0.07517509548482887,60.040000915527344,60.63999938964844,60.119998931884766,60.266666412353516,0.02350663304753695
64,IPGP,IPG Photonics Corp,Mammen Timothy Pv,"SVP, Chief Financial Officer",2022-06-16,3000,83.54,250620,2.74,88.87999725341797,,93.44000244140624,91.15999984741212,0.08358929201587117,84.80000305175781,,90.0199966430664,87.40999984741211,0.044274108845301405
65,SCWX,Secureworks Corp,Gagnon Neil,10% Owner,2022-06-21,22538,10.63,239480,1.5,11.390000343322756,11.979999542236328,12.31999969482422,11.896666526794435,0.1064723907273996,10.609999656677246,11.199999809265137,11.520000457763672,11.109999974568684,0.04320431824189265
66,LAZY,Lazydays Holdings Inc,Riley Bryant R,10% Owner,2022-06-22,19024,12.3,233940,1.5,12.979999542236328,13.350000381469727,12.930000305175781,13.086666742960611,0.06011207883655805,12.609999656677246,12.529999732971191,12.25,12.463333129882812,0.01310509220773332
67,VST,Vistra Energy Corp,Helm Scott B,Director,2022-06-17,10000,22.4,223980,2.39,,23.01000022888184,22.881999969482425,22.94600009918213,0.02379500116892232,,22.5,22.309999465942386,22.40499973297119,0.00022315255660705155
68,OII,Oceaneering International Inc,Webster Steven A,Director,2022-06-23,25000,8.72,218053,2.39,10.010000228881836,10.510000228881836,10.899999618530273,10.473333358764648,0.1674092954653605,9.100000381469727,9.829999923706055,10.4399995803833,9.789999961853027,0.10929519571218667
69,CHK,Chesapeake Energy Corp,Viets Joshua J.,EVP & COO,2022-06-16,2450,84.41,206807,2.74,84.4000015258789,,85.08999633789062,84.74499893188477,0.003953023023270437,78.0,,82.33499908447266,80.16749954223633,-0.05292045382466373
70,GIM,Templeton Global Income Fund,Weinstein Boaz,10% Owner,2022-06-21,47630,4.29,204333,1.5,4.320000171661377,4.3400001525878915,4.349999904632568,4.336666742960611,0.01076097051643705,4.199999809265137,4.25,4.2800002098083505,4.243333339691162,-0.010997641847348815
71,LAZY,Lazydays Holdings Inc,Riley Bryant R,10% Owner,2022-06-17,15768,12.73,200758,1.5,,13.43000030517578,12.65999984741211,13.045000076293945,0.024147188535964783,,12.529999732971193,12.1899995803833,12.359999656677244,-0.029935303689338614
72,BLFY,Blue Foundry Bancorp,Grimbilas Kenneth,Director,2022-06-17,17065,11.6,200485,2.39,,12.15999984741211,12.407999992370605,12.283999919891356,0.05568218205405257,,11.609999656677244,12.06999969482422,11.839999675750732,0.020270243439471654
73,APPN,Appian Corp,Moran Colin T.,10% Owner,2022-06-22,4552,43.29,199424,1.5,50.67499923706055,55.20000076293945,56.209999084472656,54.028333028157554,0.19875373579564515,45.880001068115234,51.61000061035156,53.34000015258789,50.27666727701823,0.13896440745609795
74,VAXX,"Vaxxinity, Inc.",Reese Lou,Executive Chairman,2022-06-16,100000,1.99,199290,2.64,2.1099998950958248,,2.190000057220459,2.1499999761581416,0.07441859438717194,1.919999957084656,,2.049999952316284,1.98499995470047,-0.002518914566063308
75,VAXX,"Vaxxinity, Inc.",Hu Mei Mei,See Remarks,2022-06-16,100000,1.99,199290,2.64,2.1099998950958248,,2.190000057220459,2.1499999761581416,0.07441859438717194,1.919999957084656,,2.049999952316284,1.98499995470047,-0.002518914566063308
76,VAXX,"Vaxxinity, Inc.",United Biomedical Inc,10% Owner,2022-06-16,100000,1.99,199290,2.45,2.1099998950958248,,2.190000057220459,2.1499999761581416,0.07441859438717194,1.919999957084656,,2.049999952316284,1.98499995470047,-0.002518914566063308
77,SCM,Stellus Capital Investment Corp,Bilger Bruce R,Director,2022-06-17,17543,11.35,199113,2.39,,11.520000457763672,11.420000076293945,11.470000267028807,0.010462098015268298,,11.18000030517578,11.229999542236328,11.204999923706056,-0.012940658391899942
78,CLNN,Clene Inc.,Matlin David J,,2022-06-16,75000,2.5,187500,0.01,2.5899999141693115,,2.559999942779541,2.5749999284744263,0.029126186624346982,2.359999895095825,,2.2799999713897705,2.3199999332427983,-0.07758623790372514
79,CLNN,Clene Inc.,Matlin David J,,2022-06-17,74610,2.51,187271,0.01,,2.559999942779541,2.6600000858306885,2.6100000143051147,0.03831418151610199,,2.2799999713897705,2.380000114440918,2.330000042915344,-0.07725319904262143
80,KFS,Kingsway Financial Services Inc (USA),Kavanagh Terence Michael,Director,2022-06-23,34660,5.31,183996,2.1,5.360000133514404,5.510000228881836,5.690000057220459,5.520000139872233,0.03804350263605146,5.309999942779541,5.389999866485596,5.550000190734863,5.416666666666667,0.019692307692307818
81,KFS,Kingsway Financial Services Inc (USA),Oakmont Capital Inc,10% Owner,2022-06-23,34660,5.31,183996,2.45,5.360000133514404,5.510000228881836,5.690000057220459,5.520000139872233,0.03804350263605146,5.309999942779541,5.389999866485596,5.550000190734863,5.416666666666667,0.019692307692307818
82,KFS,Kingsway Financial Services Inc (USA),Hannon Gregory Paul,Director,2022-06-23,34600,5.31,183678,2.1,5.360000133514404,5.510000228881836,5.690000057220459,5.520000139872233,0.03804350263605146,5.309999942779541,5.389999866485596,5.550000190734863,5.416666666666667,0.019692307692307818
83,APG,Api Group Corp,Malkin Anthony E,Director,2022-06-17,12600,14.47,182322,2.39,,14.859999656677244,14.470000267028807,14.664999961853027,0.013296962997631476,,14.350000381469727,14.130000114440918,14.240000247955322,-0.0161516676994232
84,SUN,Sunoco LP,Kim Joseph,President & CEO,2022-06-16,5000,35.5,177475,2.66,36.36999893188477,,37.34000015258789,36.85499954223633,0.03676569146835778,34.259998321533196,,36.22999954223633,35.24499893188477,-0.0072350993287886
85,GLP,Global Partners Lp,Global Gp Llc,General Partner,2022-06-22,7500,23.01,172575,2.44,22.979999542236328,23.239999771118164,24.170000076293945,23.463333129882812,0.019320917764469175,21.5,22.100000381469727,23.25,22.28333346048991,-0.032610315723117816
86,EYEN,Eyenovia Inc,Grant Stuart M.,,2022-06-21,100000,1.65,165000,0.01,1.8899999856948853,1.8899999856948853,1.9110000133514404,1.8969999949137368,0.13020558543805852,1.7000000476837158,1.7200000286102295,1.75,1.7233333587646484,0.042553205618451384
87,SEAC,Seachange International Inc,Singer Karen,10% Owner,2022-06-21,280182,0.54,152381,1.5,0.5899999737739563,0.5799999833106995,0.6000000238418579,0.5899999936421713,0.08474575284910205,0.5400000214576721,0.550000011920929,0.5799999833106995,0.5566666722297668,0.029940129454862643
88,ROCCU,Roth Ch Acquisition Ii Co,Field Ezra S.,Director,2022-06-23,23000,6.52,149960,2.39,,,,,,,,,,
89,SEAC,Seachange International Inc,Singer Karen,10% Owner,2022-06-16,267617,0.48,142558,1.5,0.6200000047683716,,0.6000000238418579,0.6100000143051147,0.21311477255161226,0.5600000023841858,,0.5400000214576721,0.550000011920929,0.12727274618858112
90,BXMT,Blackstone Mortgage Trust Inc,Cotton Leonard W,Director,2022-06-21,5000,27.78,138922,2.39,28.35000038146973,28.6299991607666,29.60000038146973,28.85999997456868,0.03742203657381754,27.5,28.01000022888184,28.84000015258789,28.11666679382324,0.011973922666295605
91,RGCO,RGC Resources Inc,Johnston Robert B,Director,2022-06-21,7500,18.1,135750,2.39,18.309999465942386,18.559999465942386,18.96999931335449,18.613332748413086,0.027578766003463283,18.06999969482422,18.149999618530273,18.59000015258789,18.269999821980797,0.00930486172070256
92,HRT,Hireright Holdings Corp,Carey James D,Director,2022-06-09,8328,15.0,124913,2.1,15.0,14.970000267028807,15.229999542236328,15.06666660308838,0.0044247745599357395,14.5,14.010000228881836,13.65999984741211,14.056666692097984,-0.06710931749077588
93,NREF,"Nexpoint Real Estate Finance, Inc.",Dondero James D,President,2022-06-16,5029,24.64,123915,2.64,20.334999084472656,,21.15999984741211,20.747499465942386,-0.18761299598764994,19.76000022888184,,20.32999992370605,20.045000076293945,-0.2292342183196245
94,TPVG,Triplepoint Venture Growth Bdc Corp.,Mathieu Christopher M.,Chief Financial Officer,2022-06-17,10000,12.16,121646,2.74,,12.859999656677244,12.920000076293945,12.889999866485596,0.056633039103717774,,12.5600004196167,12.585000038146973,12.572500228881836,0.032809721326091584
95,GLP,Global Partners Lp,Global Gp Llc,General Partner,2022-06-23,5433,22.05,119798,2.44,23.239999771118164,24.170000076293945,24.43000030517578,23.946666717529297,0.07920378814730442,22.100000381469727,23.25,23.850000381469727,23.066666920979817,0.04407515504787244
96,SMDM,Singing Machine Co Inc,Digital Power Corp,,2022-06-22,15518,7.72,119765,0.01,7.900000095367432,8.689900398254395,8.4399995803833,8.343300024668375,0.0747066535813747,7.428199768066406,7.650000095367432,7.650000095367432,7.576066652933757,-0.018998426711373532
97,NNBR,NN Inc,Soderlund Eric Hjalmar,10% Owner,2022-06-22,51200,2.33,119311,1.5,2.5899999141693115,2.680000066757202,2.9700000286102295,2.746666669845581,0.15169903010801314,2.319999933242798,2.4700000286102295,2.7300000190734863,2.506666660308838,0.07047872104664739
98,GLP,Global Partners Lp,Global Gp Llc,General Partner,2022-06-24,5000,23.01,115050,2.44,24.170000076293945,24.43000030517578,24.5,24.366666793823242,0.05567715951067813,23.25,23.850000381469727,23.943899154663086,23.681299845377605,0.028347254997011323
99,AEO,American Eagle Outfitters Inc,Spiegel Noel Joseph,Director,2022-06-17,10000,11.5,115000,2.1,,12.210000038146973,12.140000343322756,12.175000190734865,0.055441493236980506,,11.68000030517578,11.619999885559082,11.650000095367432,0.012875544561332532
100,SMDM,Singing Machine Co Inc,Digital Power Corp,,2022-06-23,14000,7.68,107541,0.01,8.689900398254395,8.4399995803833,8.595000267028809,8.574966748555502,0.10436970483952769,7.650000095367432,7.650000095367432,7.938300132751465,7.746100107828776,0.008533340249756263
101,HRT,Hireright Holdings Corp,Carey James D,Director,2022-06-02,7218,14.8,106838,2.1,15.270000457763672,15.630000114440918,15.720000267028807,15.540000279744469,0.04761906476340387,14.710000038146973,15.09000015258789,14.899999618530273,14.899999936421715,0.006711405157611528
102,OSGB,Overseas Shipholding Group Inc,Norton Samuel H,President and CEO,2022-06-22,50000,2.05,103515,2.81,,,,,,,,,,
103,FMAO,Farmers & Merchants Bancorp Inc,Hornish Jo Ellen,Director,2022-06-24,2997,34.14,102318,2.39,35.470001220703125,35.63999938964844,34.63999938964844,35.25,0.03148936170212764,33.84000015258789,34.189998626708984,33.900001525878906,33.97666676839193,-0.0048072176332499455
104,STRR,Star Equity Holdings Ord Shs,Eberwein Jeffrey E.,Executive Chairman,2022-06-21,113010,0.9,101709,3.23,0.9399999976158142,0.9900000095367432,0.9800000190734864,0.9700000087420144,0.07216495681561587,0.8999999761581421,0.959999978542328,0.9499999880790709,0.9366666475931804,0.039145887907290566
105,SEAC,Seachange International Inc,Aquino Peter D,President and C.E.O.,2022-06-16,189000,0.53,100170,2.81,0.6200000047683716,,0.6000000238418579,0.6100000143051147,0.13114756135907182,0.5600000023841858,,0.5400000214576721,0.550000011920929,0.03636365724989155
106,CDXC,ChromaDex Corporation,Dvorak International Ltd,10% Owner,2022-06-16,60037,1.66,99878,1.5,1.6799999475479126,,1.8799999952316284,1.7799999713897705,0.06741571534749982,1.6100000143051147,,1.7100000381469729,1.6600000262260437,1.579882130528154e-08
